Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,1.490000,1.580000,1.490000,1.520000,1.520000,14500
2019-04-12,1.520000,1.600000,1.520000,1.580000,1.580000,3500
2019-04-15,1.590000,1.630000,1.510000,1.530000,1.530000,18600
2019-04-16,1.540000,1.620000,1.540000,1.600000,1.600000,6100
2019-04-17,1.600000,1.610000,1.560000,1.570000,1.570000,8400
2019-04-18,1.600000,1.600000,1.570000,1.590000,1.590000,4500
2019-04-22,1.600000,1.600000,1.540000,1.560000,1.560000,17500
2019-04-23,1.580000,1.580000,1.520000,1.530000,1.530000,6900
2019-04-24,1.530000,1.580000,1.470000,1.500000,1.500000,40400
2019-04-25,1.480000,1.530000,1.480000,1.510000,1.510000,27800
2019-04-26,1.530000,1.550000,1.460000,1.480000,1.480000,29600
2019-04-29,1.480000,1.530000,1.480000,1.520000,1.520000,16400
2019-04-30,1.520000,1.540000,1.470000,1.490000,1.490000,11300
2019-05-01,1.500000,1.510000,1.480000,1.490000,1.490000,9400
2019-05-02,1.480000,1.500000,1.470000,1.500000,1.500000,9600
2019-05-03,1.470000,1.520000,1.470000,1.480000,1.480000,2000
2019-05-06,1.500000,1.550000,1.470000,1.470000,1.470000,28000
2019-05-07,1.480000,1.550000,1.480000,1.510000,1.510000,18700
2019-05-08,1.520000,1.550000,1.500000,1.550000,1.550000,13900
2019-05-09,1.500000,1.520000,1.400000,1.500000,1.500000,66500
2019-05-10,1.490000,1.490000,1.440000,1.480000,1.480000,13200
2019-05-13,1.450000,1.450000,1.420000,1.450000,1.450000,8900
2019-05-14,1.480000,1.480000,1.430000,1.440000,1.440000,8100
2019-05-15,1.450000,1.450000,1.430000,1.440000,1.440000,4900
2019-05-16,1.360000,1.430000,1.360000,1.400000,1.400000,38500
2019-05-17,1.380000,1.390000,1.380000,1.380000,1.380000,5800
2019-05-20,1.380000,1.390000,1.370000,1.380000,1.380000,17100
2019-05-21,1.370000,1.380000,1.340000,1.360000,1.360000,18800
2019-05-22,1.340000,1.350000,1.300000,1.310000,1.310000,9000
2019-05-23,1.310000,1.330000,1.310000,1.310000,1.310000,6500
2019-05-24,1.310000,1.330000,1.310000,1.320000,1.320000,1200
2019-05-28,1.320000,1.340000,1.310000,1.330000,1.330000,10100
2019-05-29,1.330000,1.340000,1.300000,1.340000,1.340000,2700
2019-05-30,1.330000,1.330000,1.300000,1.300000,1.300000,12200
2019-05-31,1.300000,1.310000,1.250000,1.270000,1.270000,54200
2019-06-03,1.270000,1.290000,1.230000,1.230000,1.230000,58100
2019-06-04,1.220000,1.320000,1.200000,1.230000,1.230000,87900
2019-06-05,1.220000,1.310000,1.220000,1.260000,1.260000,24900
2019-06-06,1.240000,1.270000,1.210000,1.210000,1.210000,14800
2019-06-07,1.230000,1.290000,1.230000,1.290000,1.290000,12300
2019-06-10,1.280000,1.300000,1.230000,1.230000,1.230000,8900
2019-06-11,1.220000,1.240000,1.160000,1.160000,1.160000,35300
2019-06-12,1.160000,1.180000,1.160000,1.160000,1.160000,6400
2019-06-13,1.170000,1.200000,1.100000,1.120000,1.120000,94100
2019-06-14,1.140000,1.180000,1.120000,1.150000,1.150000,8200
2019-06-17,1.190000,1.210000,1.170000,1.210000,1.210000,16300
2019-06-18,1.210000,1.250000,1.210000,1.240000,1.240000,19200
2019-06-19,1.240000,1.250000,1.150000,1.180000,1.180000,22100
2019-06-20,1.170000,1.220000,1.150000,1.170000,1.170000,10300
2019-06-21,1.190000,1.190000,1.150000,1.180000,1.180000,8500
2019-06-24,1.190000,1.200000,1.160000,1.200000,1.200000,10000
2019-06-25,1.190000,1.190000,1.150000,1.170000,1.170000,17300
2019-06-26,1.160000,1.170000,1.160000,1.160000,1.160000,9600
2019-06-27,1.180000,1.200000,1.150000,1.160000,1.160000,27600
2019-06-28,1.160000,1.160000,1.150000,1.150000,1.150000,12900
2019-07-01,1.140000,1.160000,1.140000,1.160000,1.160000,32800
2019-07-02,1.160000,1.160000,1.120000,1.150000,1.150000,15400
2019-07-03,1.130000,1.160000,1.100000,1.120000,1.120000,8000
2019-07-05,1.130000,1.160000,1.110000,1.130000,1.130000,12000
2019-07-08,1.150000,1.180000,1.150000,1.180000,1.180000,29700
2019-07-09,1.170000,1.170000,1.130000,1.130000,1.130000,7500
2019-07-10,1.170000,1.200000,1.130000,1.200000,1.200000,16400
2019-07-11,1.190000,1.190000,1.130000,1.170000,1.170000,3800
2019-07-12,1.200000,1.200000,1.150000,1.150000,1.150000,14400
2019-07-15,1.140000,1.180000,1.140000,1.150000,1.150000,10400
2019-07-16,1.140000,1.150000,1.130000,1.150000,1.150000,1200
2019-07-17,1.130000,1.140000,1.040000,1.120000,1.120000,56400
2019-07-18,1.110000,1.190000,1.080000,1.180000,1.180000,24900
2019-07-19,1.170000,1.170000,1.070000,1.070000,1.070000,43800
2019-07-22,1.070000,1.110000,1.070000,1.090000,1.090000,10700
2019-07-23,1.120000,1.140000,1.120000,1.130000,1.130000,11200
2019-07-24,1.150000,1.170000,1.150000,1.170000,1.170000,14500
2019-07-25,1.170000,1.170000,1.100000,1.120000,1.120000,10100
2019-07-26,1.110000,1.150000,1.080000,1.080000,1.080000,23500
2019-07-29,1.150000,1.160000,1.130000,1.130000,1.130000,41300
2019-07-30,1.140000,1.140000,1.110000,1.140000,1.140000,5500
2019-07-31,1.120000,1.160000,1.100000,1.100000,1.100000,16200
2019-08-01,1.140000,1.140000,1.080000,1.110000,1.110000,7500
2019-08-02,1.100000,1.100000,1.070000,1.090000,1.090000,5500
2019-08-05,1.080000,1.100000,1.020000,1.060000,1.060000,30500
2019-08-06,1.060000,1.120000,1.060000,1.080000,1.080000,28500
2019-08-07,1.070000,1.110000,1.070000,1.090000,1.090000,3700
2019-08-08,1.120000,1.120000,1.060000,1.070000,1.070000,8800
2019-08-09,1.060000,1.110000,1.060000,1.090000,1.090000,4000
2019-08-12,1.090000,1.100000,1.070000,1.100000,1.100000,3800
2019-08-13,1.110000,1.110000,1.080000,1.090000,1.090000,12700
2019-08-14,1.100000,1.110000,1.080000,1.100000,1.100000,12100
2019-08-15,1.100000,1.110000,1.100000,1.100000,1.100000,12100
2019-08-16,1.100000,1.120000,1.100000,1.110000,1.110000,5400
2019-08-19,1.120000,1.120000,1.100000,1.110000,1.110000,19800
2019-08-20,1.100000,1.120000,1.080000,1.080000,1.080000,24900
2019-08-21,1.100000,1.120000,1.080000,1.120000,1.120000,4000
2019-08-22,1.120000,1.120000,1.070000,1.090000,1.090000,9900
2019-08-23,1.070000,1.100000,1.070000,1.090000,1.090000,12800
2019-08-26,1.070000,1.080000,1.070000,1.070000,1.070000,4100
2019-08-27,1.070000,1.070000,1.060000,1.060000,1.060000,19000
2019-08-28,1.060000,1.070000,1.060000,1.070000,1.070000,24100
2019-08-29,1.080000,1.100000,1.080000,1.100000,1.100000,5100
2019-08-30,1.090000,1.090000,1.060000,1.060000,1.060000,4000
2019-09-03,1.060000,1.080000,1.060000,1.080000,1.080000,14900
2019-09-04,1.090000,1.090000,1.070000,1.070000,1.070000,4300
2019-09-05,1.070000,1.260000,1.070000,1.140000,1.140000,35600
2019-09-06,1.170000,1.180000,1.140000,1.170000,1.170000,33100
2019-09-09,1.110000,1.170000,1.110000,1.140000,1.140000,7100
2019-09-10,1.150000,1.210000,1.150000,1.160000,1.160000,16200
2019-09-11,1.160000,1.180000,1.160000,1.170000,1.170000,20400
2019-09-12,1.190000,1.190000,1.160000,1.180000,1.180000,15600
2019-09-13,1.150000,1.200000,1.150000,1.170000,1.170000,44600
2019-09-16,1.140000,1.180000,1.100000,1.130000,1.130000,13200
2019-09-17,1.110000,1.170000,1.110000,1.160000,1.160000,7900
2019-09-18,1.170000,1.180000,1.150000,1.150000,1.150000,10900
2019-09-19,1.170000,1.170000,1.130000,1.140000,1.140000,10800
2019-09-20,1.120000,1.170000,1.120000,1.170000,1.170000,6500
2019-09-23,1.150000,1.150000,1.120000,1.120000,1.120000,2700
2019-09-24,1.120000,1.140000,1.120000,1.140000,1.140000,1700
2019-09-25,1.130000,1.150000,1.100000,1.100000,1.100000,13100
2019-09-26,1.110000,1.120000,1.110000,1.120000,1.120000,7600
2019-09-27,1.120000,1.120000,0.780000,0.850000,0.850000,256100
2019-09-30,1.000000,1.000000,0.950000,0.970000,0.970000,58800
2019-10-01,1.020000,1.020000,0.980000,0.990000,0.990000,13300
2019-10-02,1.050000,1.050000,0.850000,0.920000,0.920000,70400
2019-10-03,0.980000,0.980000,0.970000,0.970000,0.970000,55800
2019-10-04,1.050000,1.060000,0.980000,1.010000,1.010000,44500
2019-10-07,1.010000,1.060000,0.970000,1.030000,1.030000,15600
2019-10-08,1.020000,1.090000,0.980000,1.020000,1.020000,10000
2019-10-09,1.020000,1.040000,1.020000,1.040000,1.040000,2000
2019-10-10,1.040000,1.050000,1.000000,1.000000,1.000000,21800
2019-10-11,0.990000,1.030000,0.990000,1.020000,1.020000,8300
2019-10-14,1.030000,1.030000,0.950000,1.020000,1.020000,8300
2019-10-15,1.010000,1.010000,0.990000,0.990000,0.990000,9200
2019-10-16,1.010000,1.020000,0.940000,0.990000,0.990000,18500
2019-10-17,1.060000,1.350000,0.950000,1.080000,1.080000,442400
2019-10-18,1.000000,1.050000,1.000000,1.050000,1.050000,31200
2019-10-21,1.040000,1.060000,0.980000,0.990000,0.990000,64700
2019-10-22,0.980000,1.060000,0.980000,1.060000,1.060000,16600
2019-10-23,1.080000,1.080000,1.030000,1.080000,1.080000,9900
2019-10-24,1.060000,1.070000,1.030000,1.030000,1.030000,3100
2019-10-25,1.040000,1.040000,1.020000,1.020000,1.020000,14400
2019-10-28,1.030000,1.050000,1.030000,1.030000,1.030000,9100
2019-10-29,1.040000,1.080000,1.040000,1.080000,1.080000,24200
2019-10-30,1.070000,1.100000,1.050000,1.070000,1.070000,15700
2019-10-31,1.070000,1.080000,1.020000,1.040000,1.040000,4800
2019-11-01,1.020000,1.080000,1.020000,1.060000,1.060000,8000
2019-11-04,1.030000,1.080000,1.030000,1.040000,1.040000,12800
2019-11-05,1.010000,1.060000,1.010000,1.060000,1.060000,8100
2019-11-06,1.060000,1.060000,1.030000,1.050000,1.050000,5600
2019-11-07,1.060000,1.060000,1.030000,1.030000,1.030000,3400
2019-11-08,1.040000,1.040000,1.030000,1.030000,1.030000,600
2019-11-11,1.020000,1.030000,1.010000,1.020000,1.020000,11100
2019-11-12,1.010000,1.020000,1.000000,1.010000,1.010000,7900
2019-11-13,0.990000,1.030000,0.990000,1.020000,1.020000,4500
2019-11-14,1.020000,1.020000,0.980000,0.990000,0.990000,8900
2019-11-15,1.010000,1.020000,0.980000,1.010000,1.010000,4600
2019-11-18,1.000000,1.010000,0.980000,0.980000,0.980000,4600
2019-11-19,1.010000,1.030000,0.990000,0.990000,0.990000,7400
2019-11-20,0.990000,1.030000,0.990000,0.990000,0.990000,8900
2019-11-21,1.000000,1.000000,0.990000,0.990000,0.990000,5000
2019-11-22,1.010000,1.010000,0.990000,1.010000,1.010000,10300
2019-11-25,1.010000,1.020000,0.970000,1.010000,1.010000,17900
2019-11-26,1.000000,1.030000,0.990000,1.030000,1.030000,48100
2019-11-27,1.030000,1.030000,0.990000,1.030000,1.030000,17300
2019-11-29,1.020000,1.020000,1.020000,1.020000,1.020000,1200
2019-12-02,1.030000,1.100000,1.020000,1.040000,1.040000,22300
2019-12-03,1.060000,1.060000,1.010000,1.010000,1.010000,5000
2019-12-04,1.010000,1.060000,1.010000,1.010000,1.010000,5500
2019-12-05,1.030000,1.060000,1.010000,1.030000,1.030000,9400
2019-12-06,1.040000,1.060000,0.990000,0.990000,0.990000,6000
2019-12-09,1.020000,1.040000,0.990000,1.030000,1.030000,10100
2019-12-10,1.010000,1.020000,0.990000,1.000000,1.000000,10800
2019-12-11,1.000000,1.010000,0.980000,1.010000,1.010000,4500
2019-12-12,1.000000,1.010000,0.980000,0.990000,0.990000,8900
2019-12-13,0.970000,1.000000,0.970000,1.000000,1.000000,11100
2019-12-16,1.010000,1.010000,0.920000,1.000000,1.000000,40400
2019-12-17,0.990000,1.000000,0.950000,1.000000,1.000000,22000
2019-12-18,0.980000,1.020000,0.980000,1.020000,1.020000,25800
2019-12-19,1.050000,1.050000,0.980000,1.000000,1.000000,18800
2019-12-20,1.020000,1.030000,0.990000,1.030000,1.030000,18800
2019-12-23,1.030000,1.030000,0.990000,1.010000,1.010000,10300
2019-12-24,0.980000,1.050000,0.980000,0.990000,0.990000,12800
2019-12-26,0.990000,1.050000,0.980000,1.030000,1.030000,14200
2019-12-27,1.000000,1.000000,0.990000,0.990000,0.990000,11300
2019-12-30,0.990000,1.040000,0.990000,0.990000,0.990000,22700
2019-12-31,0.990000,1.020000,0.990000,0.990000,0.990000,28600
2020-01-02,1.000000,1.030000,1.000000,1.010000,1.010000,8700
2020-01-03,0.990000,1.050000,0.990000,1.000000,1.000000,6400
2020-01-06,0.990000,1.050000,0.990000,1.030000,1.030000,16700
2020-01-07,1.040000,1.050000,1.000000,1.020000,1.020000,38800
2020-01-08,1.030000,1.030000,1.000000,1.030000,1.030000,3700
2020-01-09,1.040000,1.040000,1.010000,1.040000,1.040000,95400
2020-01-10,1.050000,1.250000,1.040000,1.250000,1.250000,316800
2020-01-13,1.250000,1.250000,1.080000,1.090000,1.090000,119900
2020-01-14,1.120000,1.180000,1.090000,1.120000,1.120000,81000
2020-01-15,1.100000,1.130000,1.020000,1.110000,1.110000,77300
2020-01-16,1.110000,1.110000,1.080000,1.100000,1.100000,16700
2020-01-17,1.100000,1.150000,1.100000,1.110000,1.110000,67600
2020-01-21,1.100000,1.140000,1.100000,1.140000,1.140000,14800
2020-01-22,1.110000,1.150000,1.110000,1.120000,1.120000,19800
2020-01-23,1.110000,1.150000,1.110000,1.120000,1.120000,10400
2020-01-24,1.130000,1.150000,1.100000,1.110000,1.110000,19600
2020-01-27,1.100000,1.110000,1.050000,1.060000,1.060000,55900
2020-01-28,1.080000,1.130000,1.060000,1.110000,1.110000,7000
2020-01-29,1.130000,1.130000,1.070000,1.080000,1.080000,11600
2020-01-30,1.110000,1.110000,1.080000,1.110000,1.110000,16500
2020-01-31,1.090000,1.110000,1.070000,1.080000,1.080000,9300
2020-02-03,1.100000,1.110000,1.070000,1.080000,1.080000,23700
2020-02-04,1.080000,1.130000,1.080000,1.120000,1.120000,12600
2020-02-05,1.120000,1.140000,1.100000,1.140000,1.140000,36300
2020-02-06,1.120000,1.200000,1.120000,1.140000,1.140000,46600
2020-02-07,1.140000,1.140000,1.110000,1.120000,1.120000,26400
2020-02-10,1.130000,1.150000,1.100000,1.130000,1.130000,23600
2020-02-11,1.140000,1.200000,1.120000,1.170000,1.170000,15100
2020-02-12,1.140000,1.160000,1.130000,1.140000,1.140000,14100
2020-02-13,1.120000,1.160000,1.120000,1.140000,1.140000,16100
2020-02-14,1.130000,1.150000,1.120000,1.140000,1.140000,41600
2020-02-18,1.160000,1.160000,1.100000,1.130000,1.130000,66700
2020-02-19,1.130000,1.140000,1.070000,1.110000,1.110000,20200
2020-02-20,1.090000,1.090000,1.070000,1.070000,1.070000,22300
2020-02-21,1.080000,1.090000,1.030000,1.090000,1.090000,26600
2020-02-24,1.090000,1.110000,1.030000,1.040000,1.040000,29800
2020-02-25,1.060000,1.060000,1.020000,1.050000,1.050000,21800
2020-02-26,1.050000,1.050000,1.020000,1.030000,1.030000,28800
2020-02-27,1.040000,1.040000,1.000000,1.020000,1.020000,36700
2020-02-28,0.970000,1.020000,0.970000,1.000000,1.000000,22900
2020-03-02,1.000000,1.020000,0.990000,1.010000,1.010000,47100
2020-03-03,1.010000,1.040000,1.000000,1.000000,1.000000,50600
2020-03-04,0.990000,1.050000,0.990000,1.030000,1.030000,14500
2020-03-05,0.990000,1.010000,0.990000,0.990000,0.990000,23200
2020-03-06,1.000000,1.020000,0.990000,1.000000,1.000000,9100
2020-03-09,1.010000,1.020000,0.980000,0.990000,0.990000,119800
2020-03-10,1.010000,1.020000,0.990000,1.010000,1.010000,17100
2020-03-11,1.010000,1.020000,0.990000,0.990000,0.990000,49600
2020-03-12,0.990000,1.010000,0.960000,1.000000,1.000000,71400
2020-03-13,1.000000,1.020000,0.990000,0.990000,0.990000,38300
2020-03-16,0.990000,1.040000,0.970000,1.030000,1.030000,111300
2020-03-17,1.030000,1.030000,0.970000,1.030000,1.030000,61600
2020-03-18,1.020000,1.030000,0.900000,0.900000,0.900000,49700
2020-03-19,0.960000,0.980000,0.950000,0.980000,0.980000,31100
2020-03-20,1.000000,1.000000,0.910000,0.990000,0.990000,67100
2020-03-23,0.990000,1.020000,0.950000,1.010000,1.010000,67400
2020-03-24,1.050000,1.130000,0.970000,1.080000,1.080000,129500
2020-03-25,1.100000,1.100000,0.990000,1.040000,1.040000,138200
2020-03-26,1.020000,1.080000,1.000000,1.070000,1.070000,107100
2020-03-27,1.080000,1.180000,1.020000,1.100000,1.100000,151800
2020-03-30,1.150000,1.160000,1.040000,1.060000,1.060000,69600
2020-03-31,1.070000,1.110000,1.070000,1.110000,1.110000,48600
2020-04-01,1.120000,1.150000,1.060000,1.100000,1.100000,28300
2020-04-02,1.130000,1.130000,1.070000,1.110000,1.110000,45900
2020-04-03,1.100000,1.110000,1.020000,1.080000,1.080000,49600
2020-04-06,1.100000,1.100000,1.030000,1.070000,1.070000,19600
2020-04-07,1.070000,1.130000,1.030000,1.110000,1.110000,36400
2020-04-08,1.100000,1.110000,1.060000,1.090000,1.090000,31400
2020-04-09,1.090000,1.120000,1.050000,1.100000,1.100000,55800
